nis_code,postal_code,name
11001,2630,Aartselaar
11002,2000,Antwerp
11003,2600,Berchem
11004,2530,Boechout
11005,2850,Boom
11006,2140,Borgerhout
11007,2150,Borsbeek
11008,2930,Brasschaat
11009,2960,Brecht
11010,2520,Broechem
11011,2070,Burcht
11012,2100,Deurne
11013,2650,Edegem
11014,2180,Ekeren
11015,2520,Emblem
11016,2910,Essen
11017,1500,Halle
11018,2620,Hemiksem
11019,2660,Hoboken
11020,2940,Hoevenen
11021,2540,Hove
11022,2920,Kalmthout
11023,2950,Kapellen
11024,2550,Kontich
11025,2547,Lint
11026,2990,Loenhout
11027,2240,Massenhoven
11028,2170,Merksem
11029,2640,Mortsel
11030,2845,Niel
11031,2520,Oelegem
11032,2390,Oostmalle
11033,2242,Pulderbos
11034,2243,Pulle
11035,2520,Ranst
11036,2840,Reet
11037,2840,Rumst
11038,2627,Schelle
11039,2970,Schilde
11040,2900,Schoten
11043,2960,Sint-Lenaarts
11044,2940,Stabroek
11045,2840,Terhagen
11046,2240,Viersel
11047,2531,Vremde
11048,2550,Waarloos
11049,2390,Westmalle
11050,2110,Wijnegem
11051,2610,Wilrijk
11052,2160,Wommelgem
11053,2990,Wuustwezel
11054,2240,Zandhoven
11055,2980,Zoersel
11056,2070,Zwijndrecht
11057,2390,Malle
12001,2580,Beerzel
12002,2590,Berlaar
12003,2560,Bevel
12004,2830,Blaasveld
12005,2820,Bonheiden
12006,2221,Booischot
12007,2880,Bornem
12008,2870,Breendonk
12009,2570,Duffel
12011,2220,Hallaar
12012,2801,Heffen
12013,2830,Heindonk
12014,2220,Heist-op-den-Berg
12015,2880,Hingene
12016,2811,Hombeek
12017,2222,Itegem
12018,2560,Kessel
12019,2500,Koningshooikt
12020,2811,Leest
12021,2500,Lier
12022,2870,Liezele
12023,2890,Lippelo
12024,2880,Mariekerke
12025,2800,Mechelen
12026,2560,Nijlen
12027,2861,Onze-Lieve-Vrouw-Waver
12028,2890,Oppuurs
12029,2580,Putte
12030,2870,Puurs
12031,2820,Rijmenam
12032,1601,Ruisbroek
12033,2223,Schriek
12034,2890,Sint-Amands
12035,2860,Sint-Katelijne-Waver
12036,2830,Tisselt
12037,2800,Walem
12038,2880,Weert
12039,2222,Wiekevorst
12040,2830,Willebroek
13001,2370,Arendonk
13002,2387,Baarle-Hertog
13003,2490,Balen
13004,2340,Beerse
13005,2288,Bouwel
13006,2480,Dessel
13007,2430,Eindhout
13008,2440,Geel
13009,2275,Gierle
13010,2280,Grobbendonk
13011,2200,Herentals
13012,2270,Herenthout
13013,2230,Herselt
13014,2320,Hoogstraten
13015,2235,Houtvenne
13016,2235,Hulshout
